id,type,name,canonical,cached_count,merger_id
180,Freeform,Prostitution,TRUE,12686,
181,Freeform,hookerfic,FALSE,34,88875
182,Freeform,First Time,TRUE,119305,
183,Fandom,Harry Potter - Rowling,FALSE,6220,136512
184,Freeform,Crossover,TRUE,117074,
185,Character,Clark Kent,TRUE,22162,
186,Character,Lex Luthor,TRUE,8838,
187,Fandom,Smallville,TRUE,14993,
188,Relationship,Clark/Lex,FALSE,3853,5275
192,Freeform,Friendship,TRUE,182061,
193,Freeform,Break Up,TRUE,18991,
194,Character,Catherine Willows,TRUE,716,
195,Character,Warrick Brown,TRUE,541,
196,Fandom,CSI: Las Vegas,FALSE,147,86438
198,Freeform,Pegging,TRUE,8825,
199,Character,Jack Harkness,TRUE,20456,
200,Character,Ianto Jones,TRUE,12457,
201,Character,Toshiko Sato,TRUE,5006,
202,Relationship,Jack Harkness/Ianto Jones/Toshiko Sato,TRUE,22,
203,Fandom,Torchwood,TRUE,19829,
206,Fandom,House,FALSE,5313,272
207,Relationship,Greg House/James Wilson,TRUE,2449,
208,Freeform,Pranks,FALSE,2378,10714
209,Character,Greg House,TRUE,4655,
210,Character,James Wilson,TRUE,2745,
211,Freeform,post-its,FALSE,21,148317
212,Character,Ginny,TRUE,101,
213,Character,Ron,TRUE,245,
214,Character,Neville,TRUE,94,
215,Character,Bill Weasley,TRUE,6636,
216,Character,Fleur,TRUE,26,
217,Character,Arthur Weasley,TRUE,7241,
219,Character,Teddy,TRUE,371,
220,Relationship,Snarry - Relationship,FALSE,57,1600
221,Freeform,Amnesia,TRUE,20564,
222,Freeform,timetravel,FALSE,1110,7479
224,Freeform,post-DH,FALSE,90,21269286
228,Character,Molly,TRUE,417,
230,Character,Katie Brown,FALSE,223,54276930
232,Character,OFC,FALSE,9762,479641
233,Relationship,No Pairing,FALSE,999,267340
236,Freeform,cupidsbow,FALSE,68,
237,Freeform,Death,TRUE,42189,
238,Freeform,Backstory,TRUE,14966,
239,Character,George O'Malley,TRUE,274,
240,Freeform,drunk!sex,FALSE,36,19032
242,Freeform,Spanking,TRUE,47188,
243,Freeform,Fingerfucking,TRUE,11306,
244,Freeform,Future Fic,TRUE,47118,
245,Freeform,Tribadism,TRUE,942,
247,Character,Izzie Stevens,TRUE,147,
250,Fandom,Firefly,TRUE,9053,
251,Relationship,Jayne/Simon,FALSE,32,6154
252,Freeform,Apocalypse,TRUE,7297,
253,Freeform,challenge,FALSE,1360,3825
254,Character,Elizabeth Swann,TRUE,1639,
255,Character,James Norrington,TRUE,1385,
258,Freeform,Post-Curse of the Black Pearl,TRUE,53,
259,Fandom,Pirates of the Caribbean,FALSE,2803,223664
260,Character,Joshamee Gibbs,TRUE,382,
261,Character,Jack Sparrow,TRUE,2833,
264,Freeform,Pre-Canon,TRUE,44140,
265,Character,Integra Hellsing,TRUE,895,
266,Fandom,Hellsing,TRUE,2103,
270,Character,Allison Cameron,TRUE,1281,
271,Character,Gregory House,FALSE,343,209
272,Fandom,House M.D.,TRUE,6967,
273,Fandom,The Sentinel,FALSE,13227,41796
274,Relationship,Jim/Blair,FALSE,122,485
277,Character,Lupin,FALSE,39,1049
278,Relationship,Remus Lupin/Severus Snape,TRUE,3675,
279,Freeform,pre-HBP,FALSE,38,23467524
280,Character,Darren Hayes,TRUE,19,
281,Character,Balthier,FALSE,503,3035009
282,Character,Fran,TRUE,326,
283,Character,Vaan,FALSE,125,31369
284,Character,Alanna,TRUE,17,
286,Character,Faithful,FALSE,14,4277363
287,Fandom,Final Fantasy XII,TRUE,1719,
288,Fandom,Song Of The Lioness,FALSE,12,115633
289,Freeform,crossover crack,FALSE,13,279333
290,Freeform,pre-OotP,FALSE,19,23451888
291,Freeform,Crack Fic,FALSE,3686,3236
293,Relationship,John/Rodney,FALSE,290,103
295,Character,Niels Bohr,TRUE,5,
296,Character,Werner Heisenberg,TRUE,8,
297,Character,Margrethe Bohr,TRUE,3,
300,Character,Blair Sandburg,TRUE,6268,
301,Character,Jim Ellison,TRUE,6070,
304,Relationship,Sam/Dean,FALSE,1578,35
307,Character,Voldemort,FALSE,4790,13935665
315,Character,Alucard,TRUE,228,
316,Character,Veronica Mars,TRUE,3274,
318,Character,Logan Echolls,TRUE,2638,
319,Character,Mac,TRUE,200,
320,Character,Wallace Fennell,FALSE,6,8247
321,Character,Sirius Black,TRUE,49997,
322,Relationship,Severus Snape/Sirius Black,FALSE,48,6662
324,Character,Carmen Sandiego,TRUE,215,
325,Character,Jeremy,TRUE,166,
326,Character,Arabella,TRUE,20,
327,Character,Peter,TRUE,2489,
331,Character,Malcolm Reynolds,TRUE,3482,
332,Character,Zoe Alleyne,FALSE,27,2052
333,Character,Wash,TRUE,46,
335,Character,Hoban Washburne,FALSE,103,93026
337,Fandom,due South,TRUE,13791,
338,Relationship,Fraser/Kowalski,FALSE,147,473
340,Fandom,Manic Street Preachers,TRUE,72,
343,Character,Matthew Farrell,TRUE,19,
344,Character,John McClane,TRUE,610,
345,Character,Jack McClane,TRUE,34,
346,Fandom,Die Hard,FALSE,136,226064
349,Character,Eric Taylor,TRUE,135,
350,Character,Tami Taylor,TRUE,120,
353,Fandom,Friday Night Lights,FALSE,685,204206
363,Character,JC Chasez,TRUE,1066,
364,Character,Lance Bass,TRUE,1001,
365,Fandom,NSYNC,TRUE,1578,
366,Freeform,Popslash - Freeform,FALSE,41,
368,Freeform,Domesticity,FALSE,3191,1582
369,Relationship,Rodney/John,FALSE,68,103
370,Fandom,Good Omens,FALSE,37433,114591
371,Relationship,Crowley/Aziraphale,FALSE,269,575567
372,Relationship,Rodney/Teyla,FALSE,10,6117
374,Character,Spike aka William the Bloody,FALSE,11,37365
378,Character,Donald Strachey,TRUE,163,
379,Fandom,Donald Strachey Mysteries,FALSE,7,132002
381,Character,Xander,TRUE,323,
382,Freeform,Blank Verse,TRUE,78,
383,Fandom,Buffy,FALSE,462,22001796
384,Character,Chris Kirkpatrick,TRUE,1091,
385,Character,Joey Fatone,TRUE,800,
386,Fandom,The X-Files,TRUE,21378,
390,Fandom,DCU,TRUE,34613,
392,Character,Justin Timberlake,TRUE,1078,
393,Character,Nelly,TRUE,28,
395,Character,Scorpius Malfoy,TRUE,9153,
396,Character,Albus Severus Potter,TRUE,8059,
397,Character,Rose Granger-Weasley,FALSE,123,6634
399,Character,A Ghost,TRUE,41,
400,Freeform,Bandslash,TRUE,70,
404,Character,Donna Noble,TRUE,5197,
405,Character,Martha Jones,TRUE,4717,
406,Fandom,Doctor Who,TRUE,46930,
408,Freeform,post-journey's end,FALSE,26,1235493
409,Character,Fox Mulder,TRUE,12329,
410,Character,Melvin Frohike,TRUE,337,
411,Character,John Fitzgerald Byers,FALSE,19,37383787
412,Character,Richard Langly,FALSE,45,944703
413,Fandom,Savage Garden,TRUE,19,
414,Character,Dana Scully,TRUE,11902,
415,Relationship,Mulder/Scully,FALSE,111,4905
421,Freeform,Haiku,TRUE,936,
422,Freeform,Cats,TRUE,9491,
423,Freeform,Europe-era,TRUE,22,
427,Relationship,GSF,TRUE,87,
429,Character,Duncan MacLeod,TRUE,2280,
430,Character,Methos,FALSE,2974,5908004
431,Fandom,Highlander,FALSE,683,5358
432,Character,Richey Edwards,TRUE,45,
433,Character,River Tam,TRUE,3351,
439,Freeform,first-time,FALSE,93,182
440,Character,Chazz Michaels,TRUE,31,
441,Character,Jimmy MacElroy,TRUE,36,
442,Fandom,Blades of Glory (2007),TRUE,78,
444,Character,Teyla Emmagen,FALSE,190,156
445,Character,Sora,TRUE,780,
446,Relationship,Teyla/Sora,FALSE,6,6125
447,Character,Ray Kowalski,TRUE,4639,
448,Relationship,Josh/Donna,FALSE,22,449
449,Relationship,Josh Lyman/Donna Moss,TRUE,3357,
450,Fandom,The West Wing,TRUE,9661,
452,Fandom,Quantum Leap,TRUE,850,
453,Character,Stella Kowalski,TRUE,298,
455,Character,Joe Dick,TRUE,220,
456,Character,Billy Tallent,TRUE,270,
457,Fandom,Hard Core Logo,FALSE,62,10858
458,Relationship,Billy Tallent/Joe Dick,FALSE,14,8724
459,Character,Oberon,TRUE,102,
460,Character,Puck,TRUE,126,
461,Character,Titania,TRUE,89,
462,Fandom,A Midsummer Night's Dream,FALSE,11,971859
463,Character,Elizabeth Weir,TRUE,4512,
464,Freeform,Shakespeare,FALSE,684,514794
465,Character,Benton Fraser,TRUE,5442,
466,Character,Orsino,TRUE,42,
467,Character,Olivia,TRUE,325,
468,Character,Viola,TRUE,65,
