creation date,language,restricted,complete,word_count,tags
2/26/2021,en,FALSE,TRUE,13207,13+258526+297569+279954+272025+54862896+54862899+776385+54862902+54862905+54862908+10451884+54862911+23+16
2/26/2021,en,FALSE,TRUE,6637,13+42817852+48796825+48444826+47788903+47788765+41594194+123409+83632+143795+1896+2178202+54862962+106+1370273+30286+2584+1070336+52741086+23+16
2/26/2021,en,FALSE,TRUE,13687,13+1801+1464+601802+8980432+70211+9615118+1160+54862998+85649+2026+111434+55238+634+4359+10389+129505+256455+63916+2170+1508+961796+853+242+146519+145132+866136+140790+2717+244769+90129+253815+3863+23+16+16234+54867855+332100+1235033+62+84042+427912
2/26/2021,en,FALSE,TRUE,6921,65+51132+289747+51124+6855+38489+38490+511038+35862+23210310+6719+507502+269393+968+11173+73112+42349414+176+110+418427+33310+407071+6292652+6292328+77462+2379+98700+20989866+43835032+827327+4736289+506050+214055+437175+427912+54863010+278003+211237+74277+68365+21326+775707+979326+220028+7002+806771+23+2246+16+11
2/26/2021,en,FALSE,TRUE,21171,11+242462+481710+38222+29708+433463+42010+1528672+38827+11575501+94000+38141626+917341+21518961+18567+574171+8058250+5483298+5539104+1189325+566016+5191427+831522+51848745+53904279+54863076+25972076+11444788+22+21+17
2/26/2021,en,FALSE,TRUE,12473,9+54595620+54595623+10613413+9780526+3763877+54863097+400843+1058325+35577539+35515619+28203932+16024344+11320840+35643002+8863858+35486597+8688301+22974330+14201639+1203140+16005903+24964605+213090+3763886+23+14+19+20+10629801+17305956+54297+216732+1655+23145+643441+25008+26578859+17348+233186+472135+12740+466280+419168+15290+634+4359+478186+10132+19690+890143+2515+24435362+14868023
2/26/2021,en,FALSE,TRUE,5788,10+3828398+4918711+261834+7002+110+30408248+109+54863154+28217237+234149+484760+33310+418427+176+460125+19481716+54863610+23+16+19140999
2/26/2021,en,FALSE,TRUE,9220,10+463728+196510+733+737+77750+734+16+184+1660+857
2/26/2021,en,FALSE,TRUE,7494,11+24677766+28561097+28561316+28561088+27099992+54604+105194+22+16+40404073
2/26/2021,en,FALSE,TRUE,5853,12+4594871+10554361+10519747+10519381+10520422+54863823+23+24+16+54863844+41563276+19405136+25311+54863994+933719+39598393+54863997+120701+54864000
2/26/2021,en,FALSE,TRUE,5726,13+18532155+19839333+18380145+19839351+601925+171+4359+803968+74638+148289+54863862+22+16
2/26/2021,en,FALSE,TRUE,15206,13+10348048+21459732+11264668+13807961+10299721+10299715+11446072+63163+272593+287321+48681+2997641+106+266479+26516+1251580+443865+570+634+244769+222994+430276+54863967+23+16+968
2/26/2021,en,FALSE,TRUE,6164,11+42817852+49093687+49145974+47788903+48220546+41594197+176+54864138+50209162+1125+54174666+54174627+23+16
2/26/2021,en,FALSE,TRUE,14111,11+258526+301210+282627+272025+280226+1229105+90096+9015505+789188+157647+8258+394345+37791+176+193+5212+561507+105912+433636+18154+103132+54864345+120701+93639+22+17
2/26/2021,en,FALSE,TRUE,18565,11+53156544+549377+53385339+549375+549376+53145618+16136835+557013+53145453+557015+53145561+53194887+53054460+53108871+52995345+52995351+655596+442064+476532+953083+54864477+1772+53554689+54864480+54864483+13506+892948+524635+33310+407067+546223+192+22+16+54400503
2/26/2021,en,FALSE,TRUE,18365,9+136512+14+1353180+1426384+1110+12792+1246116+1049+1246126+321+1237+699293+176+54865128+54865131+7576211+31434+54865134+21370977+54892245+39308+542155
2/26/2021,en,FALSE,TRUE,6346,11+711035+711036+711037+707017+538001+892730+874113+6813322+721517+2753769+2753787+11073841+221456+729088+711322+18183897+1175998+90110+110+7002+485246+4689+273001+54864951+46285195+466283+205362+30924+54864954+240647+452828+380034+234149+11220373+260687+54864957+33880+23+16
2/26/2021,en,FALSE,TRUE,22500,11+31803664+38351956+37929055+36941485+36744523+35451662+31340635+35485091+87694+2379+42486+979346+33923+731752+729682+116+21+17
2/26/2021,en,FALSE,TRUE,10566,9+969647+236208+997647+846501+590654+2842+2846+2271+2332+107041+749390+54865431+424529+2379+527869+299174+259331+319537+12427+1134271+2333853+14+10907+481325
2/26/2021,en,FALSE,TRUE,16603,13+758208+7559582+770175+770190+836529+2721675+36394+1772+68440+644206+842172+781+40279+455965+9754738+27124+13534115+4895278+33310+234149+54865449+4297589+17084+583+21057+618361+4359+803968+26516+224375+320259+35797+270932+220394+17826+86249+282868+434968+10546+54865452+985675+244769+2013134+313286+17079+220156+54865455+770714+315340+75783+318038+19867+116182+61+22+14
2/26/2021,en,FALSE,TRUE,8452,11+13999+14303+14299+14037+14300+14295+21500+24878+24876+24877+1131355+24881+21496+24880+6651436+60+1646+933719+278003+1153627+62+65760+319152+234149+7002+143795+1772+23+16+54865608+873393+217541
2/26/2021,en,FALSE,TRUE,10569,10+1633246+711035+6071397+711037+711322+707017+2314+110+19107984+1356+21+16
2/26/2021,en,FALSE,TRUE,12560,12+67581+54865593+54865596+54865599+801236+11803+54865605+87694+238504+15290+17+18+16+22+83330+153918+17734128+130790
2/26/2021,en,FALSE,TRUE,8616,13+28776644+36374941+35863106+36121073+110+1646+30677948+11603689+2026+97914+9766+62+475190+23+16
2/26/2021,en,FALSE,TRUE,5975,11+51602310+134891+50265+50267+50266+176953+176951+176950+2796954+52348587+11175+1160+50796+53403423+52288419+519407+110+22+16
2/26/2021,en,FALSE,TRUE,17799,12+38425105+38425108+38425111+239711+13526720+68440+284087+10609+54865770+54865773+10315+320259+2717+22+16
2/26/2021,en,FALSE,TRUE,5594,11+20963328+37467886+27761293+21311118+34760462+22840617+26828840+20747118+21176691+22397643+494522+39287671+237+432161+3459+176+203051+968+143795+570938+54865803+54865806+54865809+54865812+41376982+54865815+22192515+23+18
2/26/2021,en,FALSE,TRUE,6841,11+1387845+54865947+30008789+30895628+30270632+30941705+418427+207910+36505243+56870+9894292+12454726+12454729+23+2246+16+3456332
2/26/2021,en,FALSE,TRUE,5626,10+6856609+12307111+12310528+19886+53153+53155+53156+19889+19890+229465+32033779+22+23+16+605155+8182+2379+98700+211237+68440+18154+93639
2/26/2021,en,FALSE,TRUE,5607,12+10778845+21764115+20393991+19534242+19671762+19346596+26622+110613+485661+979326+995958+111998+781+4610184+17894+33923+979332+542155+225834+89890+21+16+19569180
2/26/2021,en,FALSE,TRUE,6747,13+5500317+54866040+54866043+7425668+9453478+54604+469060+746796+87580+4926+74638+634+153+7859+803968+478186+59480+54866046+22+23+14+116182+94081
2/26/2021,en,FALSE,TRUE,20385,11+136512+119457+215384+148428+2772+967+321+30076+27594097+97+176+87694+23+16+45792
2/26/2021,en,FALSE,TRUE,5134,11+1002903+19266044+997965+18954756+43466422+2878+717+3115+1160+31434+23+16+997967+997962+4430519+997964+1396993+2459+675889
2/26/2021,en,FALSE,TRUE,6363,11+758208+19671114+1354929+15089010+1354930+11090464+933719+129557+2379+87190+54866403+627616+261834+281765+23+16
2/26/2021,en,FALSE,TRUE,19718,11+1002903+5608719+4899289+1396993+997967+54866430+8236270+8310013+8336041+9643072+10421680+10071692+10421497+54866433+225791+595593+460125+54866436+54866439+22+16
